source_id,source_row,bus,source_status,pmin_mw,pmin_pu,pmax_mw,pmax_pu,gap_uncertified_secure_commitment,gap_uncertified_secure_dispatch_mw,gap_uncertified_secure_dispatch_pu,mip_gap,requested_mip_gap,independent_security_verification,price_status,price_per_mwh,price_per_pu_hour
gen-row-0001,1,1004,1,158.25,1.5825,158.25,1.5825,1,158.25,1.5825,0.0021295552806028916,0.001,passed,withheld_mip_gap_not_certified,,
gen-row-0002,2,1006,1,25.73,0.25730000000000003,25.73,0.25730000000000003,1,25.730000000000004,0.25730000000000003,0.0021295552806028916,0.001,passed,withheld_mip_gap_not_certified,,
gen-row-0003,3,1009,1,61.87,0.6187,61.87,0.6187,0,0.0,0.0,0.0021295552806028916,0.001,passed,withheld_mip_gap_not_certified,,
gen-row-0004,4,1011,1,3.0,0.03,10.0,0.1,1,10.0,0.1,0.0021295552806028916,0.001,passed,withheld_mip_gap_not_certified,,
gen-row-0005,5,1021,1,149.63,1.4963,149.63,1.4963,1,149.63,1.4963,0.0021295552806028916,0.001,passed,withheld_mip_gap_not_certified,,
gen-row-0006,6,1023,1,135.0,1.35,135.0,1.35,1,135.0,1.35,0.0021295552806028916,0.001,passed,withheld_mip_gap_not_certified,,
gen-row-0007,7,1026,1,93.15,0.9315000000000001,93.15,0.9315000000000001,1,93.15,0.9315000000000001,0.0021295552806028916,0.001,passed,withheld_mip_gap_not_certified,,
gen-row-0008,8,1033,1,208.5,2.085,208.5,2.085,1,208.5,2.085,0.0021295552806028916,0.001,passed,withheld_mip_gap_not_certified,,
gen-row-0009,9,1035,1,67.5,0.675,67.5,0.675,1,67.5,0.675,0.0021295552806028916,0.001,passed,withheld_mip_gap_not_certified,,
gen-row-0010,10,1039,1,110.63,1.1063,110.63,1.1063,1,110.63000000000001,1.1063,0.0021295552806028916,0.001,passed,withheld_mip_gap_not_certified,,
gen-row-0011,11,1042,0,36.57,0.3657,121.9,1.219,0,0.0,0.0,0.0021295552806028916,0.001,passed,withheld_mip_gap_not_certified,,
gen-row-0012,12,1043,1,44.1,0.441,44.1,0.441,1,44.1,0.441,0.0021295552806028916,0.001,passed,withheld_mip_gap_not_certified,,
gen-row-0013,13,1048,0,97.56,0.9756,325.2,3.252,0,0.0,0.0,0.0021295552806028916,0.001,passed,withheld_mip_gap_not_certified,,
gen-row-0014,14,1049,0,97.56,0.9756,325.2,3.252,0,0.0,0.0,0.0021295552806028916,0.001,passed,withheld_mip_gap_not_certified,,
gen-row-0015,15,1050,1,26.82,0.2682,89.4,0.894,0,0.0,0.0,0.0021295552806028916,0.001,passed,withheld_mip_gap_not_certified,,
gen-row-0016,16,1051,1,26.82,0.2682,89.4,0.894,0,0.0,0.0,0.0021295552806028916,0.001,passed,withheld_mip_gap_not_certified,,
