round,transition,first_seen_elapsed_seconds,variable_name,source_row,source_id,bus,pmin_mw,pmax_mw,from_commitment,to_commitment,direction
2,2,6.964428270002827,u_g0003,4,gen-row-0004,1011,3.0,10.0,1,0,on_to_off
2,2,6.964428270002827,u_g0006,7,gen-row-0007,1026,93.15,93.15,0,1,off_to_on
2,2,6.964428270002827,u_g0036,37,gen-row-0037,1084,86.62,86.62,0,1,off_to_on
2,2,6.964428270002827,u_g0050,51,gen-row-0051,2059,60.0,60.0,1,0,on_to_off
2,2,6.964428270002827,u_g0056,57,gen-row-0057,2084,6.0,20.0,0,1,off_to_on
2,2,6.964428270002827,u_g0072,73,gen-row-0073,2123,136.28,136.28,0,1,off_to_on
2,2,6.964428270002827,u_g0120,121,gen-row-0121,4026,123.0,410.0,0,1,off_to_on
2,2,6.964428270002827,u_g0132,133,gen-row-0133,4063,51.7,172.33,0,1,off_to_on
2,2,6.964428270002827,u_g0133,134,gen-row-0134,4065,14.1,47.0,1,0,on_to_off
2,2,6.964428270002827,u_g0136,137,gen-row-0137,4077,52.9,176.33,0,1,off_to_on
2,2,6.964428270002827,u_g0140,141,gen-row-0141,4085,105.6,352.0,1,0,on_to_off
2,2,6.964428270002827,u_g0152,153,gen-row-0153,4116,39.54,131.8,0,1,off_to_on
2,2,6.964428270002827,u_g0153,154,gen-row-0154,4133,10.08,33.6,1,0,on_to_off
2,2,6.964428270002827,u_g0162,163,gen-row-0163,4161,59.33,197.77,0,1,off_to_on
2,2,6.964428270002827,u_g0164,165,gen-row-0165,4163,2.7,9.0,1,0,on_to_off
2,2,6.964428270002827,u_g0171,172,gen-row-0172,4192,7.2,24.0,1,0,on_to_off
2,2,6.964428270002827,u_g0178,179,gen-row-0179,4192,55.13,183.77,0,1,off_to_on
2,2,6.964428270002827,u_g0194,195,gen-row-0195,5065,3.18,10.6,0,1,off_to_on
2,2,6.964428270002827,u_g0233,234,gen-row-0234,5364,64.0,213.33,0,1,off_to_on
2,2,6.964428270002827,u_g0261,262,gen-row-0262,6006,63.9,213.0,0,1,off_to_on
2,2,6.964428270002827,u_g0278,279,gen-row-0279,6072,54.41,181.37,0,1,off_to_on
2,2,6.964428270002827,u_g0280,281,gen-row-0281,6074,54.41,181.37,1,0,on_to_off
2,2,6.964428270002827,u_g0281,282,gen-row-0282,6078,169.0,563.33,0,1,off_to_on
2,2,6.964428270002827,u_g0283,284,gen-row-0284,6080,169.0,563.33,1,0,on_to_off
2,2,6.964428270002827,u_g0296,297,gen-row-0297,6111,198.45,661.5,1,0,on_to_off
2,2,6.964428270002827,u_g0300,301,gen-row-0301,6147,279.6,932.0,0,1,off_to_on
2,2,6.964428270002827,u_g0305,306,gen-row-0306,6166,70.52,235.05,0,1,off_to_on
2,2,6.964428270002827,u_g0307,308,gen-row-0308,6213,177.9,177.9,0,1,off_to_on
2,2,6.964428270002827,u_g0321,322,gen-row-0322,6259,15.42,51.4,0,1,off_to_on
2,2,6.964428270002827,u_g0333,334,gen-row-0334,6296,61.87,206.23,0,1,off_to_on
2,2,6.964428270002827,u_g0335,336,gen-row-0336,6301,0.96,3.2,1,0,on_to_off
2,2,6.964428270002827,u_g0349,350,gen-row-0350,6349,108.9,363.0,0,1,off_to_on
2,2,6.964428270002827,u_g0376,377,gen-row-0377,7081,68.59,228.65,0,1,off_to_on
2,2,6.964428270002827,u_g0378,379,gen-row-0379,7098,406.29,1354.3,1,0,on_to_off
2,2,6.964428270002827,u_g0379,380,gen-row-0380,7099,406.29,1354.3,1,0,on_to_off
2,2,6.964428270002827,u_g0380,381,gen-row-0381,7107,45.0,150.0,0,1,off_to_on
2,2,6.964428270002827,u_g0409,410,gen-row-0410,7169,26.3,87.72,0,1,off_to_on
2,2,6.964428270002827,u_g0410,411,gen-row-0411,7170,105.26,350.87,0,1,off_to_on
2,2,6.964428270002827,u_g0412,413,gen-row-0413,7190,14.4,48.0,0,1,off_to_on
2,2,6.964428270002827,u_g0416,417,gen-row-0417,7194,69.28,230.95,0,1,off_to_on
2,2,6.964428270002827,u_g0457,458,gen-row-0458,7355,205.26,684.2,1,0,on_to_off
2,2,6.964428270002827,u_g0499,500,gen-row-0500,7428,39.0,130.0,1,0,on_to_off
2,2,6.964428270002827,u_g0503,504,gen-row-0504,7428,30.16,100.52,1,0,on_to_off
2,2,6.964428270002827,u_g0535,536,gen-row-0536,8130,198.0,660.0,1,0,on_to_off
2,2,6.964428270002827,u_g0536,537,gen-row-0537,8131,198.0,660.0,0,1,off_to_on
2,3,7.717095169995446,u_g0003,4,gen-row-0004,1011,3.0,10.0,0,1,off_to_on
2,3,7.717095169995446,u_g0006,7,gen-row-0007,1026,93.15,93.15,1,0,on_to_off
2,3,7.717095169995446,u_g0029,30,gen-row-0030,1076,57.64,192.13,1,0,on_to_off
2,3,7.717095169995446,u_g0036,37,gen-row-0037,1084,86.62,86.62,1,0,on_to_off
2,3,7.717095169995446,u_g0050,51,gen-row-0051,2059,60.0,60.0,0,1,off_to_on
2,3,7.717095169995446,u_g0056,57,gen-row-0057,2084,6.0,20.0,1,0,on_to_off
2,3,7.717095169995446,u_g0131,132,gen-row-0132,4062,51.7,172.33,0,1,off_to_on
